dataset;alpha;dedpul;random_dedpul;KM_2_mae;KM_1_mae;em_en;e3_en;e1_en
bank;0,95;0,09699999999999999;0,098;0,076;0,11;0,035;0,222;0,479
bank;0,75;0,08199999999999999;0,105;0,067;0,09300000000000001;0,08900000000000001;0,086;0,42200000000000004
bank;0,5;0,055999999999999994;0,08;0,048;0,063;0,105;0,05;0,35
bank;0,25;0,054000000000000006;0,106;0,045;0,038;0,105;0,054000000000000006;0,21
bank;0,050000000000000044;0,04;0,027999999999999997;0,055;0,34;0,055999999999999994;0,16;0,03
concrete;0,95;0,048;0,07200000000000001;0,09699999999999999;0,128;0,009000000000000001;0,165;0,28
concrete;0,75;0,049;0,068;0,127;0,077;0,099;0,015;0,301
concrete;0,5;0,125;0,085;0,138;0,21899999999999997;0,195;0,07200000000000001;0,428
concrete;0,25;0,094;0,092;0,187;0,556;0,11900000000000001;0,081;0,25
concrete;0,050000000000000044;0,065;0,068;0,426;0,728;0,057999999999999996;0,11199999999999999;0,05
housing;0,95;0,046;0,128;0,075;0,11699999999999999;0,009000000000000001;0,22899999999999998;0,257
housing;0,75;0,047;0,036000000000000004;0,1;0,062;0,12300000000000001;0,031;0,305
housing;0,5;0,049;0,065;0,145;0,08900000000000001;0,19399999999999998;0,073;0,38299999999999995
housing;0,25;0,066;0,075;0,231;0,534;0,23600000000000002;0,109;0,244
housing;0,050000000000000044;0,09699999999999999;0,121;0,6970000000000001;0,7829999999999999;0,11800000000000001;0,128;0,05
landsat;0,95;0,004;0,002;0,004;0,02;0,02;0,25;0,11199999999999999
landsat;0,75;0,005;0,01;0,01;0,021;0,019;0,024;0,125
landsat;0,5;0,012;0,011000000000000001;0,009000000000000001;0,013000000000000001;0,013999999999999999;0,06;0,121
landsat;0,25;0,015;0,021;0,022000000000000002;0,02;0,028999999999999998;0,078;0,11599999999999999
landsat;0,050000000000000044;0,021;0,013999999999999999;0,581;0,66;0,026000000000000002;0,09;0,049
mnist_1;0,95;0,005;0,006999999999999999;0,107;0,17300000000000001;0,019;0,225;0,139
mnist_1;0,75;0,019;0,01;0,102;0,11800000000000001;0,133;0,055;0,177
mnist_1;0,5;0,039;0,016;0,102;0,07;0,183;0,146;0,21
mnist_1;0,25;0,057999999999999996;0,055999999999999994;0,08199999999999999;0,057;0,397;0,24100000000000002;0,204
mnist_1;0,050000000000000044;0,08;0,032;0,061;0,322;0,535;0,313;0,05
mnist_2;0,95;0,005;0,008;0,337;0,35100000000000003;0,025;0,265;0,17600000000000002
mnist_2;0,75;0,019;0,023;0,114;0,081;0,13;0,057999999999999996;0,22699999999999998
mnist_2;0,5;0,034;0,027999999999999997;0,111;0,062;0,26;0,165;0,265
mnist_2;0,25;0,043;0,042;0,085;0,276;0,342;0,256;0,245
mnist_2;0,050000000000000044;0,052000000000000005;0,042;0,098;0,501;0,47100000000000003;0,344;0,05
mnist_3;0,95;0,003;0,005;0,049;0,02;0,02;0,23399999999999999;0,141
mnist_3;0,75;0,01;0,021;0,067;0,027999999999999997;0,07;0,055999999999999994;0,171
mnist_3;0,5;0,021;0,022000000000000002;0,115;0,067;0,128;0,15;0,198
mnist_3;0,25;0,026000000000000002;0,018000000000000002;0,1;0,095;0,307;0,254;0,223
mnist_3;0,050000000000000044;0,126;0,062;0,10400000000000001;0,305;0,625;0,326;0,05
mushroom;0,95;0,002;0,002;0,013000000000000001;0,017;0,028999999999999998;0,6459999999999999;0,053
mushroom;0,75;0,004;0,006;0,015;0,003;0,037000000000000005;0,032;0,09
mushroom;0,5;0,01;0,009000000000000001;0,032;0,026000000000000002;0,066;0,099;0,111
mushroom;0,25;0,013999999999999999;0,015;0,067;0,14400000000000002;0,071;0,14800000000000002;0,126
mushroom;0,050000000000000044;0,035;0,031;0,217;0,629;0,052000000000000005;0,077;0,047
pageblock;0,95;0,008;0,011000000000000001;0,011000000000000001;0,02;0,023;0,141;0,141
pageblock;0,75;0,019;0,028999999999999998;0,018000000000000002;0,027999999999999997;0,20199999999999999;0,039;0,264
pageblock;0,5;0,057;0,039;0,052000000000000005;0,094;0,345;0,11199999999999999;0,287
pageblock;0,25;0,076;0,075;0,055;0,311;0,423;0,11900000000000001;0,217
pageblock;0,050000000000000044;0,052000000000000005;0,053;0,172;0,6779999999999999;0,182;0,153;0,049
shuttle;0,95;0,002;0,003;0,013999999999999999;0,013000000000000001;0,018000000000000002;0,479;0,031
shuttle;0,75;0,004;0,006;0,038;0,015;0,011000000000000001;0,016;0,043
shuttle;0,5;0,006999999999999999;0,01;0,06;0,04;0,017;0,048;0,047
shuttle;0,25;0,003;0,011000000000000001;0,077;0,07400000000000001;0,013000000000000001;0,076;0,054000000000000006
shuttle;0,050000000000000044;0,006;0,006999999999999999;0,062;0,122;0,028999999999999998;0,066;0,042
spambase;0,95;0,009000000000000001;0,01;0,008;0,02;0,01;0,114;0,128
spambase;0,75;0,016;0,013999999999999999;0,015;0,013000000000000001;0,08;0,033;0,156
spambase;0,5;0,031;0,019;0,037000000000000005;0,07;0,158;0,129;0,212
spambase;0,25;0,063;0,033;0,053;0,36200000000000004;0,183;0,207;0,18899999999999997
spambase;0,050000000000000044;0,055;0,018000000000000002;0,478;0,764;0,037000000000000005;0,092;0,05
wine;0,95;0,002;0,002;0,01;0,02;0,016;0,34;0,027000000000000003
wine;0,75;0,003;0,003;0,005;0,017;0,075;0,044000000000000004;0,048
wine;0,5;0,009000000000000001;0,006999999999999999;0,012;0,012;0,044000000000000004;0,102;0,068
wine;0,25;0,018000000000000002;0,022000000000000002;0,02;0,040999999999999995;0,091;0,163;0,073
wine;0,050000000000000044;0,013999999999999999;0,011000000000000001;0,503;0,7829999999999999;0,043;0,115;0,046
