distribution;ds;dmu;alpha;cons_alpha;dedpul;random_dedpul;KM_2_mae;KM_1_mae;em_en;e3_en;e1_en
laplace;1;1;0,95;0,601;0,045;0,019;0,046;0,092;0,054000000000000006;0,027999999999999997;0,36
laplace;1;1;0,75;0,474;0,037000000000000005;0,028999999999999998;0,049;0,043;0,09;0,040999999999999995;0,32299999999999995
laplace;1;1;0,5;0,31599999999999995;0,052000000000000005;0,039;0,059000000000000004;0,06;0,05;0,052000000000000005;0,251
laplace;1;1;0,25;0,15799999999999992;0,054000000000000006;0,059000000000000004;0,038;0,08;0,084;0,06;0,146
laplace;1;1;0,050000000000000044;0,03200000000000003;0,027000000000000003;0,022000000000000002;0,024;0,294;0,044000000000000004;0,05;0,031
laplace;1;1;0,0;0,0;0,013000000000000001;0,008;0,1;0,314;0,081;0,079;0,0
laplace;1;2;0,95;0,821;0,023;0,021;0,024;0,013999999999999999;0,038;0,016;0,266
laplace;1;2;0,75;0,6479999999999999;0,031;0,026000000000000002;0,032;0,025;0,031;0,024;0,256
laplace;1;2;0,5;0,43200000000000005;0,038;0,034;0,044000000000000004;0,038;0,033;0,040999999999999995;0,22699999999999998
laplace;1;2;0,25;0,21599999999999997;0,051;0,025;0,038;0,048;0,034;0,053;0,158
laplace;1;2;0,050000000000000044;0,04299999999999993;0,028999999999999998;0,031;0,026000000000000002;0,2;0,064;0,05;0,043
laplace;1;4;0,95;0,933;0,006;0,005;0,018000000000000002;0,002;0,024;0,05;0,11
laplace;1;4;0,75;0,736;0,008;0,01;0,011000000000000001;0,013000000000000001;0,022000000000000002;0,021;0,10800000000000001
laplace;1;4;0,5;0,491;0,008;0,013999999999999999;0,022000000000000002;0,017;0,047;0,052000000000000005;0,10400000000000001
laplace;1;4;0,25;0,245;0,012;0,015;0,03;0,027000000000000003;0,052000000000000005;0,076;0,08900000000000001
laplace;1;4;0,050000000000000044;0,049000000000000044;0,016;0,017;0,032;0,15;0,040999999999999995;0,07200000000000001;0,042
laplace;2;0;0,95;0,475;0,114;0,095;0,11199999999999999;0,166;0,09;0,086;0,322
laplace;2;0;0,75;0,375;0,079;0,079;0,122;0,139;0,067;0,06;0,273
laplace;2;0;0,5;0,25;0,055;0,063;0,071;0,063;0,04;0,032;0,201
laplace;2;0;0,25;0,125;0,034;0,043;0,022000000000000002;0,07;0,02;0,02;0,115
laplace;2;0;0,050000000000000044;0,025000000000000022;0,015;0,016;0,038;0,281;0,04;0,047;0,025
laplace;4;0;0,95;0,712;0,09;0,07;0,079;0,272;0,078;0,078;0,297
laplace;4;0;0,75;0,562;0,078;0,038;0,049;0,054000000000000006;0,042;0,04;0,254
laplace;4;0;0,5;0,375;0,047;0,034;0,077;0,078;0,013999999999999999;0,013999999999999999;0,196
