dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
bank;0,05;0;0,2117;0,05009999999999999;0,1501;0,0478;0,05;0,1173;0,025;0,0352
bank;0,05;1;0,1321;0,05009999999999999;0,1865;0,030000000000000002;0,008299999999999995;0,2486;0,017100000000000004;0,028600000000000004
bank;0,05;2;0,5491999999999999;0,05009999999999999;0,1377;0,0425;0,015100000000000002;0,18480000000000002;0,017199999999999993;0,038400000000000004
bank;0,05;3;0,28700000000000003;0,05009999999999999;0,10260000000000001;0,0708;0,0039000000000000007;0,22560000000000002;0,03849999999999999;9,999999999999593e-05
bank;0,05;4;0,5236999999999999;0,05009999999999999;0,0929;0,029700000000000004;0,0328;0,1522;0,062299999999999994;0,022000000000000002
bank;0,05;5;0,2279;0,0966;0,14589999999999997;0,037000000000000005;0,043800000000000006;0,14489999999999997;0,0936;0,0354
bank;0,05;6;0,30010000000000003;0,05009999999999999;0,09119999999999999;0,0453;0,0413;0,12469999999999999;0,04819999999999999;0,0402
bank;0,05;7;0,2117;0,05009999999999999;0,0655;0,018800000000000004;0,025300000000000003;0,14439999999999997;0,0315;0,018300000000000004
bank;0,05;8;0,47869999999999996;0,05009999999999999;0,104;0,0318;0,05;0,0994;0,21000000000000002;0,016100000000000003
bank;0,05;9;0,47869999999999996;0,05009999999999999;0,0513;0,0476;0,029200000000000004;0,1533;0,018000000000000002;0,044800000000000006
bank;0,25;0;0,019600000000000006;0,0582;0,029899999999999982;0,07339999999999999;0,2137;0,03670000000000001;0,1644;0,14600000000000002
bank;0,25;1;0,029099999999999987;0,038599999999999995;0,0033999999999999864;0,05629999999999999;0,25;0,0421;0,28300000000000003;0,0615
bank;0,25;2;0,1094;0,0801;0,029799999999999993;0,026400000000000007;0,2229;0,04409999999999997;0,06;0,03190000000000001
bank;0,25;3;0,002700000000000008;0,0524;0,04150000000000001;0,03720000000000001;0,2457;0,004599999999999993;0,059;0,10389999999999999
bank;0,25;4;0,0398;0,012399999999999994;0,026500000000000024;0,0527;0,1739;0,0826;0,07980000000000001;0,1101
