dataset;ds;dmu;alpha;cons_alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
laplace;1;1;0,05;0,0316;0;0,24069999999999997;0,0184;0,322;0,025100000000000004;0,0316;0,014199999999999997;0,0034000000000000002;0,014500000000000002
laplace;1;1;0,05;0,0316;1;0,0992;0,0184;0,5206000000000001;0,0316;0,0316;0,06659999999999999;0,044399999999999995;0,0316
laplace;1;1;0,05;0,0316;2;0,5186000000000001;0,0184;0,6954;0,029400000000000003;0,0316;0,003599999999999999;0,0019000000000000024;0,029400000000000003
laplace;1;1;0,05;0,0316;3;0,5301;0,0505;0,49509999999999993;0,031100000000000003;0,028300000000000002;0,1118;0,0894;0,030900000000000004
laplace;1;1;0,05;0,0316;4;0,5955;0,0184;0,7916000000000001;0,0316;0,029500000000000002;0,13140000000000002;0,20529999999999998;0,0316
laplace;1;1;0,05;0,0316;5;0,0961;0,04569999999999999;0,1618;0,03409999999999999;0,0316;0,0781;0,05439999999999999;0,015799999999999995
laplace;1;1;0,05;0,0316;6;0,19879999999999998;0,0184;0,33599999999999997;0,022900000000000004;0,0316;0,03899999999999999;0,020399999999999995;0,020600000000000004
laplace;1;1;0,05;0,0316;7;0,0856;0,0184;0,23959999999999998;0,015300000000000005;0,0316;0,030699999999999998;0,0174;0,011200000000000002
laplace;1;1;0,05;0,0316;8;0,26789999999999997;0,0184;0,16549999999999998;0,024400000000000005;0,0316;0,012899999999999995;0,0023999999999999994;0,020500000000000004
laplace;1;1;0,05;0,0316;9;0,3054;0,0184;0,31829999999999997;0,0204;0,0316;0,006899999999999996;0,005600000000000004;0,014000000000000002
laplace;1;1;0,25;0,158;0;0,009399999999999992;0,005899999999999989;0,027900000000000008;0,013300000000000006;0,1497;0,012199999999999989;0,021999999999999992;0,030099999999999988
laplace;1;1;0,25;0,158;1;0,08479999999999999;0,0691;0,18599999999999997;0,06970000000000001;0,1354;0,0751;0,04100000000000001;0,06509999999999999
