dataset;ds;dmu;alpha;cons_alpha;random_state;en;sigmoid_nnre;brier_nnre;dedpul;random_dedpul
laplace;1;1;0,05;0,0316;0;0,0331;0,0325;0,0351;0,0383;0,0411
laplace;1;1;0,05;0,0316;1;0,0216;0,0316;0,0431;0,0349;0,0363
laplace;1;1;0,05;0,0316;2;0,05;0,0307;0,0662;0,0307;0,0314
laplace;1;1;0,05;0,0316;3;0,0286;0,0304;0,0488;0,0304;0,0306
laplace;1;1;0,05;0,0316;4;0,0319;0,0326;0,051;0,0331;0,0332
laplace;1;1;0,05;0,0316;5;0,0276;0,0319;0,0591;0,0282;0,0331
laplace;1;1;0,05;0,0316;6;0,0731;0,0324;0,0746;0,0421;0,0434
laplace;1;1;0,05;0,0316;7;0,0586;0,0305;0,0646;0,0432;0,0558
laplace;1;1;0,05;0,0316;8;0,0301;0,03;0,0333;0,0337;0,0355
laplace;1;1;0,05;0,0316;9;0,0288;0,0304;0,0377;0,0447;0,0546
laplace;1;1;0,25;0,158;0;0,0594;0,1624;0,0536;0,0393;0,0954
laplace;1;1;0,25;0,158;1;0,0439;0,1609;0,0424;0,0366;0,031
laplace;1;1;0,25;0,158;2;0,0855;0,1527;0,0806;0,0739;0,1171
laplace;1;1;0,25;0,158;3;0,0618;0,1524;0,0568;0,0531;0,0477
laplace;1;1;0,25;0,158;4;0,0656;0,159;0,067;0,052;0,0366
laplace;1;1;0,25;0,158;5;0,0402;0,1469;0,0485;0,0426;0,0593
laplace;1;1;0,25;0,158;6;0,0955;0,1621;0,0913;0,0895;0,1095
laplace;1;1;0,25;0,158;7;0,0819;0,1526;0,0679;0,0407;0,0695
laplace;1;1;0,25;0,158;8;0,0529;0,1525;0,0531;0,0678;0,079
laplace;1;1;0,25;0,158;9;0,0578;0,155;0,0696;0,0549;0,0826
laplace;1;1;0,5;0,3161;0;0,0779;0,1594;0,0546;0,0288;0,0556
laplace;1;1;0,5;0,3161;1;0,0672;0,1672;0,0323;0,0314;0,0614
laplace;1;1;0,5;0,3161;2;0,1073;0,1342;0,0812;0,0362;0,0522
laplace;1;1;0,5;0,3161;3;0,0829;0,1491;0,0531;0,0385;0,0468
laplace;1;1;0,5;0,3161;4;0,0858;0,1603;0,0555;0,0422;0,0534
laplace;1;1;0,5;0,3161;5;0,0534;0,1735;0,0396;0,0426;0,0751
laplace;1;1;0,5;0,3161;6;0,1084;0,164;0,0971;0,0614;0,0692
laplace;1;1;0,5;0,3161;7;0,0965;0,1621;0,0487;0,0285;0,0305
laplace;1;1;0,5;0,3161;8;0,071;0,1721;0,0588;0,0463;0,0701
laplace;1;1;0,5;0,3161;9;0,0771;0,144;0,0663;0,045;0,0442
laplace;1;1;0,75;0,4741;0;0,0703;0,1548;0,053;0,0287;0,0283
laplace;1;1;0,75;0,4741;1;0,0552;0,1547;0,0358;0,0236;0,0216
laplace;1;1;0,75;0,4741;2;0,1034;0,1516;0,0684;0,0442;0,0339
laplace;1;1;0,75;0,4741;3;0,0672;0,171;0,0469;0,038;0,0341
